fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Dictionary,updatetrump.com,,,,,,,,
Dictionary,trump-verify.com,,,,,,,,
Dictionary,trumpverify.com,,,,,,,,
Dictionary,verify-trump.com,,,,,,,,
Dictionary,verifytrump.com,,,,,,,,
Dictionary,trump-verification.com,,,,,,,,
Dictionary,trumpverification.com,,,,,,,,
Dictionary,verification-trump.com,,,,,,,,
Dictionary,verificationtrump.com,,,,,,,,
Dictionary,trump-services.com,,,,,,,,
Dictionary,trumpservices.com,66.175.58.9,,mx05-1.sherwebcloud.com,dns1.earthlink.net,United States,1999-05-05T00:00:00,2016-06-15T00:00:00,0
Dictionary,services-trump.com,,,,,,,,
Dictionary,servicestrump.com,,,,,,,,
Dictionary,trump-www.com,,,,,,,,
Dictionary,trumpwww.com,184.168.221.36,,smtp.secureserver.net,ns65.domaincontrol.com,United States,2015-12-28T00:00:00,2016-12-13T00:00:00,0
Dictionary,www-trump.com,50.63.202.60,,smtp.secureserver.net,ns21.domaincontrol.com,United States,2015-09-27T00:00:00,2016-09-27T00:00:00,0
Dictionary,wwwtrump.com,185.53.179.8,,,ns1.parkingcrew.net,Germany,2015-08-17T00:00:00,2016-10-25T00:00:00,0
Dictionary,trump-google.com,184.168.221.33,,smtp.secureserver.net,ns57.domaincontrol.com,United States,2016-11-10T00:00:00,2016-11-10T00:00:00,0
Dictionary,trumpgoogle.com,162.255.119.250,,eforward1.registrar-servers.com,dns1.registrar-servers.com,United States,2016-05-18T00:00:00,2016-07-25T00:00:00,
Dictionary,google-trump.com,50.63.202.60,,smtp.secureserver.net,ns57.domaincontrol.com,United States,2016-11-10T00:00:00,2016-11-10T00:00:00,
Dictionary,googletrump.com,50.63.202.36,,smtp.secureserver.net,ns07.domaincontrol.com,United States,2012-03-01T00:00:00,2017-01-04T00:00:00,
Dictionary,trump-oAfghanistan.com,,,,,,,,
Dictionary,trumpoAfghanistan.com,,,,,,,,
Dictionary,oAfghanistan-trump.com,,,,,,,,
Dictionary,oAfghanistantrump.com,,,,,,,,
Dictionary,trump-Albania.com,,,,,,,,
Dictionary,trumpAlbania.com,184.168.221.32,,smtp.secureserver.net,ns15.domaincontrol.com,United States,2012-01-19T00:00:00,2016-06-29T00:00:00,0
Dictionary,Albania-trump.com,,,,,,,,
Dictionary,Albaniatrump.com,,,,,,,,
Dictionary,trump-Algeria.com,,,,,,,,
Dictionary,trumpAlgeria.com,,,,,,,,
Dictionary,Algeria-trump.com,,,,,,,,
Dictionary,Algeriatrump.com,,,,,,,,
Dictionary,trump-Andorra.com,,,,,,,,
Dictionary,trumpAndorra.com,,,,,,,,
Dictionary,Andorra-trump.com,,,,,,,,
Dictionary,Andorratrump.com,,,,,,,,
Dictionary,trump-Angola.com,,,,,,,,
Dictionary,trumpAngola.com,,,,,,,,
Dictionary,Angola-trump.com,,,,,,,,
Dictionary,Angolatrump.com,,,,,,,,
Dictionary,trump-Argentina.com,,,,,,,,
Dictionary,trumpArgentina.com,184.168.221.50,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,
Dictionary,Argentina-trump.com,,,,,,,,
Dictionary,Argentinatrump.com,,,,,,,,
Dictionary,trump-Armenia.com,,,,,,,,
Dictionary,trumpArmenia.com,,,,,,,,
Dictionary,Armenia-trump.com,,,,,,,,
Dictionary,Armeniatrump.com,,,,,,,,
Dictionary,trump-Australia.com,,,,,,,,
Dictionary,trumpAustralia.com,184.168.221.61,,smtp.secureserver.net,ns53.domaincontrol.com,United States,2007-10-25T00:00:00,2016-06-29T00:00:00,0
Dictionary,Australia-trump.com,,,,,,,,
Dictionary,Australiatrump.com,,,,,,,,
Dictionary,trump-Austria.com,,,,,,,,
Dictionary,trumpAustria.com,184.168.221.63,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,Austria-trump.com,,,,,,,,
Dictionary,Austriatrump.com,,,,,,,,
Dictionary,trump-Azerbaijan.com,,,,,,,,
Dictionary,trumpAzerbaijan.com,50.63.202.45,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2011-09-27T00:00:00,2016-06-29T00:00:00,0
Dictionary,Azerbaijan-trump.com,,,,,,,,
Dictionary,Azerbaijantrump.com,,,,,,,,
Dictionary,trump-Bahamas.com,,,,,,,,
Dictionary,trumpBahamas.com,,,,,,,,
Dictionary,Bahamas-trump.com,,,,,,,,
Dictionary,Bahamastrump.com,,,,,,,,
Dictionary,trump-Bahrain.com,,,,,,,,
Dictionary,trumpBahrain.com,50.63.202.36,,smtp.secureserver.net,ns35.domaincontrol.com,United States,2009-05-26T00:00:00,2016-06-29T00:00:00,
Dictionary,Bahrain-trump.com,,,,,,,,
Dictionary,Bahraintrump.com,,,,,,,,
Dictionary,trump-Bangladesh.com,,,,,,,,
Dictionary,trumpBangladesh.com,,,,,,,,
Dictionary,Bangladesh-trump.com,,,,,,,,
Dictionary,Bangladeshtrump.com,,,,,,,,
Dictionary,trump-Barbados.com,,,,,,,,
Dictionary,trumpBarbados.com,74.208.236.74,,mx00.1and1.com,ns57.1and1.com,United States,2008-08-06T00:00:00,2016-08-07T00:00:00,
Dictionary,Barbados-trump.com,,,,,,,,
Dictionary,Barbadostrump.com,,,,,,,,
Dictionary,trump-Belarus.com,,,,,,,,
Dictionary,trumpBelarus.com,,,,,,,,
Dictionary,Belarus-trump.com,,,,,,,,
Dictionary,Belarustrump.com,,,,,,,,
Dictionary,trump-Belgium.com,,,,,,,,
Dictionary,trumpBelgium.com,50.63.202.46,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,Belgium-trump.com,,,,,,,,
Dictionary,Belgiumtrump.com,,,,,,,,
Dictionary,trump-Belize.com,,,,,,,,
